_timestamp,version,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc
1712562460628899,0,114478500,11.313823,46.434320,286.715900,240.667500,-0.000000,0.000000,-0.000100,-0.000500,0.016700,0.022500
1712562460726315,0,114478600,11.313823,46.434320,286.724100,240.675600,-0.000000,0.000000,0.000100,-0.000400,0.016500,0.021900
1712562460825983,0,114478700,11.313823,46.434320,286.717800,240.669400,0.000000,0.000000,-0.000200,0.000400,0.016100,0.021000
1712562460923832,0,114478800,11.313823,46.434320,286.719500,240.671100,0.000000,0.000000,0.000500,0.000100,0.015800,0.020400
1712562461025378,0,114478900,11.313823,46.434320,286.724200,240.675800,0.000000,0.000000,0.000200,-0.000200,0.015900,0.020600
1712562461152222,0,114479000,11.313823,46.434320,286.716200,240.667800,0.000000,0.000000,0.000200,-0.000200,0.015700,0.020200
1712562461226729,0,114479100,11.313823,46.434320,286.722700,240.674300,-0.000000,0.000000,-0.000300,0.000300,0.016300,0.021700
1712562461328802,0,114479200,11.313823,46.434320,286.720200,240.671800,0.000000,0.000000,0.000200,-0.000200,0.016500,0.022000
1712562461423507,0,114479300,11.313823,46.434320,286.716700,240.668300,0.000000,0.000000,-0.000300,0.000300,0.016500,0.022000
1712562461527479,0,114479400,11.313823,46.434320,286.722400,240.674000,0.000000,0.000000,0.000400,0.000000,0.016500,0.022100
1712562461628798,0,114479500,11.313823,46.434320,286.720200,240.671800,-0.000000,0.000000,0.000200,-0.000200,0.016200,0.021300
1712562461727289,0,114479600,11.313823,46.434320,286.724300,240.675800,-0.000000,-0.000000,0.000300,-0.000200,0.016500,0.022000
1712562461826499,0,114479700,11.313823,46.434320,286.719900,240.671500,0.000000,0.000000,-0.000100,-0.000500,0.016800,0.022600
1712562461923257,0,114479800,11.313823,46.434320,286.721300,240.672900,-0.000000,0.000000,0.000300,-0.000100,0.016900,0.022900
1712562462023420,0,114479900,11.313823,46.434320,286.715000,240.666600,0.000000,0.000000,0.000000,-0.000400,0.016800,0.022600
1712562462135459,0,114480000,11.313823,46.434320,286.723200,240.674800,-0.000000,0.000000,0.000200,-0.000200,0.016700,0.022400
1712562462224266,0,114480100,11.313823,46.434320,286.721900,240.673500,-0.000000,0.000000,-0.000100,0.000500,0.016900,0.022900
1712562462323005,0,114480200,11.313823,46.434320,286.719300,240.670900,-0.000000,0.000000,0.000300,-0.000100,0.017100,0.023300
1712562462425268,0,114480300,11.313823,46.434320,286.720100,240.671700,-0.000000,-0.000000,0.000100,-0.000300,0.016800,0.022800
1712562462526920,0,114480400,11.313823,46.434320,286.726400,240.678000,-0.000000,0.000000,0.000400,0.000000,0.017000,0.023000
1712562462626445,0,114480500,11.313823,46.434320,286.716400,240.667900,0.000000,0.000000,0.000400,-0.000100,0.017200,0.023400
1712562462724947,0,114480600,11.313823,46.434320,286.715200,240.666700,0.000000,0.000000,0.000200,-0.000300,0.017800,0.024600
1712562462823320,0,114480700,11.313823,46.434320,286.718500,240.670100,-0.000000,0.000000,0.000500,0.000100,0.018100,0.024900
1712562462922445,0,114480800,11.313823,46.434320,286.722300,240.673800,-0.000000,0.000000,0.000300,-0.000200,0.017900,0.024500
1712562463022318,0,114480900,11.313823,46.434320,286.720100,240.671700,-0.000000,0.000000,0.000100,-0.000300,0.017600,0.024200
1712562463143063,0,114481000,11.313823,46.434320,286.721000,240.672600,0.000000,-0.000000,0.000000,-0.000400,0.017700,0.024300
1712562463226133,0,114481100,11.313823,46.434320,286.713100,240.664700,0.000000,-0.000000,0.000100,-0.000300,0.018300,0.025100
1712562463325301,0,114481200,11.313823,46.434320,286.718400,240.670000,0.000000,0.000000,0.000400,0.000000,0.018200,0.024900
1712562463424227,0,114481300,11.313823,46.434320,286.716700,240.668200,0.000000,-0.000000,-0.000300,0.000200,0.018200,0.025000
1712562463523453,0,114481400,11.313823,46.434320,286.718600,240.670200,-0.000000,0.000000,-0.000400,0.000200,0.018000,0.024600
1712562463626518,0,114481500,11.313823,46.434320,286.715100,240.666600,0.000000,-0.000000,0.000100,-0.000400,0.017900,0.024600
1712562463725927,0,114481600,11.313823,46.434320,286.710100,240.661600,0.000000,-0.000000,0.000100,-0.000400,0.017900,0.024600
1712562463824467,0,114481700,11.313823,46.434320,286.710800,240.662400,0.000000,-0.000000,-0.000200,0.000400,0.019000,0.026000
1712562463923242,0,114481800,11.313823,46.434320,286.717300,240.668900,0.000000,0.000000,0.000300,-0.000100,0.019500,0.026600
1712562464018725,0,114481900,11.313823,46.434320,286.709400,240.661000,0.000000,-0.000000,0.000400,0.000000,0.018900,0.025900
1712562464141261,0,114482000,11.313823,46.434320,286.707900,240.659500,-0.000000,-0.000000,-0.000100,0.000500,0.019000,0.026000
1712562464233153,0,114482100,11.313823,46.434320,286.713000,240.664600,0.000000,-0.000000,0.000000,-0.000400,0.018900,0.025900
1712562464336329,0,114482200,11.313823,46.434320,286.713400,240.665000,-0.000000,-0.000000,0.000400,0.000000,0.019200,0.026200
1712562464426724,0,114482300,11.313823,46.434320,286.716700,240.668300,0.000000,-0.000000,-0.000300,0.000300,0.019100,0.026100
1712562464529466,0,114482400,11.313823,46.434320,286.709900,240.661500,0.000000,-0.000000,-0.000100,0.000500,0.019800,0.027100
1712562464632136,0,114482500,11.313823,46.434320,286.711900,240.663500,-0.000000,-0.000000,-0.000100,-0.000500,0.020100,0.027500
1712562464725137,0,114482600,11.313823,46.434320,286.707600,240.659200,0.000000,-0.000000,-0.000400,0.000200,0.020400,0.028100
1712562464825155,0,114482700,11.313823,46.434320,286.708400,240.659900,0.000000,-0.000000,0.000400,-0.000100,0.020100,0.027600
1712562464920329,0,114482800,11.313823,46.434320,286.711000,240.662500,0.000000,-0.000000,0.000000,-0.000500,0.020200,0.027800
1712562465026486,0,114482900,11.313823,46.434320,286.713900,240.665500,0.000000,-0.000000,-0.000100,0.000500,0.020200,0.027800
1712562465152040,0,114483000,11.313823,46.434320,286.712500,240.664000,0.000000,-0.000000,0.000500,0.000000,0.020500,0.028200
1712562465233133,0,114483100,11.313823,46.434320,286.713200,240.664800,0.000000,-0.000000,0.000200,-0.000200,0.021400,0.029400
1712562465329444,0,114483200,11.313823,46.434319,286.703100,240.654700,0.000000,-0.000000,0.000100,-0.000300,0.020900,0.028700
1712562465425712,0,114483300,11.313823,46.434318,286.702100,240.653700,-0.000000,-0.000000,0.000100,-0.000300,0.019700,0.027000
1712562465527941,0,114483400,11.313822,46.434316,286.728800,240.680400,-0.000000,-0.000000,-0.000200,0.000400,0.017900,0.024400
1712562465624401,0,114483500,11.313821,46.434314,286.732900,240.684500,0.000000,0.000000,-0.000100,0.000500,0.018100,0.024600
1712562465722429,0,114483600,11.313820,46.434311,286.739200,240.690800,-0.000000,0.000000,0.000200,-0.000200,0.016900,0.023100
1712562465818752,0,114483700,11.313819,46.434308,286.727500,240.679100,0.000000,0.000000,0.000500,0.000100,0.016900,0.023100
1712562465923957,0,114483800,11.313817,46.434304,286.736000,240.687600,0.000000,-0.000000,0.000000,-0.000400,0.017100,0.023400
1712562466023956,0,114483900,11.313816,46.434299,286.739200,240.690800,0.000000,0.000000,0.000200,-0.000200,0.017200,0.023500
1712562466139402,0,114484000,11.313814,46.434294,286.740500,240.692100,0.000000,-0.000000,-0.000500,0.000100,0.017900,0.024500
1712562466236332,0,114484100,11.313812,46.434288,286.728900,240.680400,-0.000000,0.000000,-0.000100,0.000400,0.016800,0.022900
1712562466323184,0,114484200,11.313809,46.434281,286.721400,240.673000,-0.000000,-0.000000,0.000400,0.000000,0.017500,0.023900
1712562466424631,0,114484300,11.313807,46.434274,286.716900,240.668500,0.000000,-0.000000,-0.000100,0.000500,0.017900,0.024400
1712562466524201,0,114484400,11.313804,46.434267,286.725000,240.676500,-0.000000,0.000000,0.000000,-0.000500,0.019000,0.025800
1712562466623016,0,114484500,11.313801,46.434259,286.714400,240.665900,-0.000000,-0.000000,0.000400,-0.000100,0.019100,0.026000
1712562466718460,0,114484600,11.313799,46.434250,286.710500,240.662100,0.000000,0.000000,0.000500,0.000100,0.019300,0.026200
1712562466824040,0,114484700,11.313796,46.434241,286.709200,240.660800,-0.000000,0.000000,0.000200,-0.000200,0.019400,0.026400
1712562466923498,0,114484800,11.313793,46.434231,286.706000,240.657500,-0.000000,0.000000,0.000000,-0.000500,0.020300,0.027500
1712562467026581,0,114484900,11.313790,46.434221,286.707000,240.658600,-0.000000,0.000000,0.000000,-0.000400,0.019500,0.026400
1712562467149802,0,114485000,11.313786,46.434209,286.713600,240.665100,-0.000000,0.000000,-0.000400,0.000100,0.018500,0.025100
1712562467223323,0,114485100,11.313783,46.434197,286.715700,240.667300,0.000000,-0.000000,-0.000300,0.000300,0.018300,0.024800
1712562467324449,0,114485200,11.313779,46.434185,286.710400,240.661900,0.000000,-0.000000,0.000400,-0.000100,0.016600,0.022400
1712562467424020,0,114485300,11.313776,46.434172,286.710900,240.662500,0.000000,0.000000,-0.000100,0.000500,0.018300,0.024800
1712562467523544,0,114485400,11.313772,46.434158,286.709700,240.661200,-0.000000,0.000000,-0.000300,0.000200,0.018400,0.024800
1712562467619011,0,114485500,11.313767,46.434143,286.706200,240.657800,-0.000000,-0.000000,0.000200,-0.000200,0.017900,0.024500
1712562467724255,0,114485600,11.313763,46.434128,286.715000,240.666600,-0.000000,0.000000,0.000000,-0.000400,0.018300,0.025100
1712562467823863,0,114485700,11.313759,46.434112,286.696000,240.647600,0.000000,-0.000000,0.000000,-0.000400,0.018300,0.025100
